n,schedule,basis,rounds,idle,cnot_depth,undetected_single_fault_signatures,circuit_fault_distance
38,dedicated,Z,2,True,40,0,2
38,dedicated,Z,3,False,40,0,2
38,dedicated,Z,3,True,40,0,2
38,coloration,X,1,False,72,16,1
38,coloration,X,1,True,72,16,1
38,coloration,X,2,False,72,16,1
38,coloration,X,2,True,72,16,1
38,coloration,X,3,False,72,16,1
38,coloration,X,3,True,72,16,1
38,coloration,Z,1,False,72,16,1
38,coloration,Z,1,True,72,16,1
38,coloration,Z,2,False,72,16,1
38,coloration,Z,2,True,72,16,1
38,coloration,Z,3,False,72,16,1
38,coloration,Z,3,True,72,16,1
40,dedicated,X,1,False,42,0,2
40,dedicated,X,1,True,42,0,2
40,dedicated,X,2,False,42,0,2
40,dedicated,X,2,True,42,0,2
40,dedicated,X,3,False,42,0,2
40,dedicated,X,3,True,42,0,2
40,dedicated,Z,1,False,42,0,2
40,dedicated,Z,1,True,42,0,2
40,dedicated,Z,2,False,42,0,2
40,dedicated,Z,2,True,42,0,2
40,dedicated,Z,3,False,42,0,2
40,dedicated,Z,3,True,42,0,2
40,coloration,X,1,False,76,17,1
40,coloration,X,1,True,76,17,1
40,coloration,X,2,False,76,17,1
40,coloration,X,2,True,76,17,1
40,coloration,X,3,False,76,17,1
40,coloration,X,3,True,76,17,1
40,coloration,Z,1,False,76,17,1
40,coloration,Z,1,True,76,17,1
40,coloration,Z,2,False,76,17,1
40,coloration,Z,2,True,76,17,1
40,coloration,Z,3,False,76,17,1
40,coloration,Z,3,True,76,17,1
42,dedicated,X,1,False,44,0,2
42,dedicated,X,1,True,44,0,2
42,dedicated,X,2,False,44,0,2
42,dedicated,X,2,True,44,0,2
42,dedicated,X,3,False,44,0,2
42,dedicated,X,3,True,44,0,2
42,dedicated,Z,1,False,44,0,2
42,dedicated,Z,1,True,44,0,2
42,dedicated,Z,2,False,44,0,2
42,dedicated,Z,2,True,44,0,2
42,dedicated,Z,3,False,44,0,2
